wavelength_nm,angle=0|pol=p|R,angle=0|pol=s|R,angle=30|pol=p|R,angle=30|pol=s|R,angle=45|pol=p|R,angle=45|pol=s|R
499.5,0.0008071159680368219,0.0008071159680368219,0.003144515595359016,0.007081923213359705,0.0015857497252782396,0.026463006659992763
499.75,0.0008537120861537498,0.0008537120861537498,0.003128826705548264,0.007160721086510669,0.0015239717634168315,0.02643157877448761
500.0,0.0009016935380785799,0.0009016935380785799,0.003113710362398811,0.0072394454863514745,0.0014639731937454057,0.026398051855929753
500.25,0.0009502294358778992,0.0009502294358778992,0.0030996899346369023,0.007317149609556668,0.0014070987522832113,0.026364919851248825
500.5,0.0010000942730771954,0.0010000942730771954,0.003086193844118126,0.007394709838144863,0.0013519190213474848,0.026329725169451892
500.75,0.0010512857039263381,0.0010512857039263381,0.00307322072451362,0.0074721068445908504,0.0012984274509824077,0.026292477608317436
501.0,0.001103800868299071,0.001103800868299071,0.003060769073834471,0.00754932144000117,0.001246617273297434,0.026253187346154797
501.25,0.0011576363975934027,0.0011576363975934027,0.0030488372577457063,0.007626334579830414,0.0011964815059476062,0.026211864937115623
501.5,0.001212788420822089,0.001212788420822089,0.0030374235128571184,0.0077031273694461696,0.0011480129556088227,0.026168521306476965
501.75,0.001269252570884518,0.001269252570884518,0.0030265259499914626,0.007779681069546463,0.0011012042214478867,0.026123167745901656
502.0,0.0013270239910128806,0.0013270239910128806,0.0030161425574276677,0.007855977101428104,0.001056047698586083,0.026075815908673902
502.25,0.0013860973413838925,0.0013860973413838925,0.0030062712041190984,0.007931997052106406,0.0010125355815564232,0.026026477804911203
502.5,0.001446466805889192,0.001446466805889192,0.002996909642885428,0.00800772267928761,0.0009706598677532408,0.025975165796757464
502.75,0.0015081260990564625,0.0015081260990564625,0.002988055513578297,0.008083135916195007,0.0009304123608738073,0.025921892593554822
503.0,0.001571068473113973,0.001571068473113973,0.002979706346218494,0.008158218876249592,0.000891784674351554,0.025866671246997385
503.25,0.001635286725190901,0.001635286725190901,0.002971859564105486,0.008232953857604367,0.0008547682347798105,0.02580951514626688
